Cycle ID,Cycle time [mS],Origin Addr,Destiny Addr,Distance (m),RX Power (dBm),Active
100,521,C1,B2,19.60,-87.32,1
100,521,B4,B2,14.19,-99.15,1
101,521,C1,B3,46.40,-98.02,1
101,521,C1,B4,-999.00,-999.00,0
101,521,B3,B2,26.80,-96.64,1
101,521,B3,B4,13.47,-91.04,1
101,521,C1,B2,20.43,-87.90,1
101,521,B4,B2,14.13,-99.63,1
102,739,C1,B3,47.45,-97.73,1
102,739,C1,B4,-999.00,-999.00,0
102,739,B3,B2,26.84,-96.64,1
102,739,B3,B4,13.49,-92.06,1
102,739,C1,B2,21.41,-89.05,1
102,739,B4,B2,14.27,-99.35,1
103,1276,C1,B3,48.59,-94.19,1
103,1276,C1,B4,-999.00,-999.00,0
103,1276,B3,B2,-999.00,-999.00,0
103,1276,B3,B4,-999.00,-999.00,0
103,1276,C1,B2,22.69,-89.85,1
103,1276,B4,B2,-999.00,-999.00,0
104,1214,C1,B3,49.75,-99.87,1
104,1214,C1,B4,-999.00,-999.00,0
104,1214,B3,B2,26.86,-97.06,1
104,1214,B3,B4,-999.00,-999.00,0
104,1214,C1,B2,23.45,-93.56,1
104,1214,B4,B2,-999.00,-999.00,0
105,1719,C1,B3,-999.00,-999.00,0
105,1719,C1,B4,37.05,-102.09,1
105,1719,B3,B2,26.85,-97.81,1
105,1719,B3,B4,13.57,-89.97,1
105,1719,C1,B2,21.83,-88.76,1
105,1719,B4,B2,-999.00,-999.00,0
106,562,C1,B3,-999.00,-999.00,0
106,562,C1,B4,36.73,-96.68,1
106,562,B3,B2,27.00,-94.43,1
106,562,B3,B4,13.59,-89.93,1
106,562,C1,B2,21.42,-98.13,1
106,562,B4,B2,-999.00,-999.00,0
107,453,C1,B3,-999.00,-999.00,0
107,453,C1,B4,36.48,-100.61,1
107,453,B3,B2,26.90,-96.28,1
107,453,B3,B4,13.48,-91.87,1
107,453,C1,B2,21.25,-92.94,1
107,453,B4,B2,-999.00,-999.00,0
108,453,C1,B3,-999.00,-999.00,0
108,453,C1,B4,35.23,-102.57,1
108,453,B3,B2,26.92,-96.03,1
108,453,B3,B4,13.54,-90.34,1
108,453,C1,B2,19.97,-89.61,1
108,453,B4,B2,-999.00,-999.00,0
109,453,C1,B3,-999.00,-999.00,0
109,453,C1,B4,34.59,-99.31,1
